text,date,likes
RT @adrozd83: #Київ / #Kyiv https://t.co/V5UYsHz3RZ,2025-05-24 10:51:13+00:00,0
"🏙️👀🕵️‍♀️ Футболка ""Вікно. Сусіди — загадка. Погляд на міські історії від Згадки!"" 

https://t.co/OEV4JGD3S5

#ВікноСусідиЗагадка #МіськіІсторії #Спостереження  #Урбаністика #Згадка #ФутболкаЗПринтом #СтильнийОбраз #ПрихованийЗміст #Україна #ПодарунокДляСпостерігачів #ЖиттяЗаВікном https://t.co/C9PMCssmHn",2025-05-24 10:50:57+00:00,1
"🌍 92% українців вважають корупцію серйозною загрозою, майже стільки ж, скільки війну - 95%. Частка тих, хто вважає корупцію дуже поширеною, зросла до 63%. #Суспільство #Україна #Корупція

https://t.co/Fnfa1UyAZ9",2025-05-24 10:50:35+00:00,0
"Музика смерті не давала спати.
Проспала екскурсію...все хуйня, короче.
#Київ  #шахеди https://t.co/jihkzEiCcm",2025-05-24 10:48:48+00:00,0
"🇺🇸Спецпредставник президента США @SPE_Kellogg назвав обмін полоненими між Україною та РФ ""найпозитивнішим результатом"" переговорів у Стамбулі

#обмін #полонені #війна #Україна #Келлог  

https://t.co/UTsRwGKgrL",2025-05-24 10:48:16+00:00,0
"RT @adrozd83: Лук’янівка. Перший в Україні 'McDonald's', 24.05.1997 #Київ https://t.co/dpEX0emKPq",2025-05-24 10:47:44+00:00,0
#Україна #СБУ #зрада #ПавлоБройде #агентиКремля #ІринаКременовська #ОлексійСвятого #живодер #догхантер https://t.co/hVQZF2BoNJ,2025-05-24 10:47:38+00:00,0
RT @adrozd83: 24.05.2025 #Київ https://t.co/SnGrp367OB,2025-05-24 10:46:02+00:00,0
#Київ https://t.co/yII8RMpp1S,2025-05-24 10:44:52+00:00,0
"Дамаск позитивно відреагував на зміну курсу США.

#новини #політика #сирія #санкції #сша

https://t.co/MSjtaV08Zx",2025-05-24 10:43:52+00:00,0
"RT @adrozd83: Відкриття першого в Україні ""McDonald's"", біля станції метро ""Лук’янівська"". Фото: 24.05.1997 #Київ https://t.co/nCys3EHH4P",2025-05-24 10:43:18+00:00,0
"Tarantino 🎬🕺💥 Футболка ""Кримінальне чтиво. Танець — культовий принт від Згадки!"" 

https://t.co/1a1afNHKo5

#КримінальнеЧтиво #PulpFiction #КультовийПринт #Танець #Кіно #Тарантіно #Легенда #Згадка #ФутболкаЗПринтом #КультовийОбраз #Україна #ПодарунокКіноману #КіноНазавжди https://t.co/QLxNCXkaIF",2025-05-24 10:41:28+00:00,1
