text,date,likes
"Прозорість зросла, але проблем з контролем і локалізацією не меншає. Що відбувається із державними закупівлями — пояснює Катерина Русіна.

#Україна #реформи #ProZorro
https://t.co/K2KEa2qHdi",2025-05-27 10:26:14+00:00,0
"🇩🇪Канцлер Німеччини @_FriedrichMerz пояснив свою заяву про скасування ліміту для України на дальність ударів по Росії:

https://t.co/oesPNCPkWa

#Німеччина #Україна #війна #Germany #Ukraine #war",2025-05-27 10:24:20+00:00,0
"RT @Finnlly: 27.05.2025 08:15 День #1189
Грем: ми готові ввести 500% мито на країни, що купують московські енергоносії, зробивши з рф острі…",2025-05-27 10:18:38+00:00,0
"RT @zn_ua: Таке рішення може суттєво змінити хід війни та посилити тиск на Кремль.

#новини #трамп #україна #війна #західназброя

https://t…",2025-05-27 10:16:28+00:00,0
"🥇 Ангеліна Гузик з Херсона здобула золото на чемпіонаті Німеччини з боксу серед жінок до 19 років у категорії до 54 кг. Змагання проходили з 20 по 23 травня в Вісмарі. #Бокс #Спорт #Україна #Перемога
 https://t.co/dSUXQ4v7sH",2025-05-27 10:15:05+00:00,0
"🔴 Татьяна Монтян: «Киеву дали зеленый свет»: скоро бомбы будут лететь с большим размахом

👉 Подробности: https://t.co/uhyN63PiEs

@golos_eu

#украина #россия #политика #ukraine #russia #украинароссия #zelensky #putin #ukrainerussianwar #україна #росія",2025-05-27 10:08:05+00:00,0
"RT @es_luhanshchyny: ❗Передали ЗСУ Mercedes, який буде заряджати танки

#україна #війна #новини #допомога #пп #єс #порошенко #петропорошенк…",2025-05-27 10:06:34+00:00,0
"RT @es_luhanshchyny: ❗Передали ЗСУ Mercedes, який буде заряджати танки

#україна #війна #новини #допомога #пп #єс #порошенко #петропорошенк…",2025-05-27 10:05:42+00:00,0
"🇺🇦 Україна стала учасницею першої у світі юридично зобов’язуючої міжнародної конвенції про штучний інтелект!

Крім того, країна впроваджуватиме систему HUDERIA для оцінки відповідності технологій ШІ новим міжнародним стандартам ⚖️🤖

#ШІ #AI #Україна 

https://t.co/6sXSRY4q4a",2025-05-27 10:02:51+00:00,0
"🇨🇳В Китаї відреагували на заяву голови української Служби зовнішньої розвідки про поставки військовим заводам Росі:

https://t.co/2a6sdP2y7a

#Китай #Росія #Україна #China #Russia #Ukraine",2025-05-27 09:55:50+00:00,0
